id,name,description,experience,attack,defence,hitpoints,damage,saveFort,saveReflex,saveWill,gold,image
11,Goblin,"Goblin   is a small humanoid creature standing at about three to four feet tall, with greenish-brown skin and beady red eyes. It has pointy ears and a sharp-toothed mouth that looks like a perpetual snarl. Its lanky arms end in clawed hands, and its spindly legs allow it to move quickly and quietly. It carries crude weapons such as spears, bows, or scimitars, and is known for its sneaky and cunning nature, often ambushing its enemies with traps and surprise attacks.",1100,3,16,15,1d8+2,2,1,0,67.5,Goblin.png
12,Grimlock,"Grimlock is a humanoid creature that stands around 4 to 5 feet tall, with pale, almost translucent skin and no visible eyes. They possess keen hearing and smell senses that compensate for their lack of sight. Their body is thin and sinewy, with long, spindly arms and fingers. They are known to be excellent climbers and have sharp teeth and claws. Their clothing consists of simple rags and hides, and they are often seen wielding primitive weapons such as spears or clubs.",1200,4,15,25,1d8+3,1,4,2,112.5,Grimlock.png
13,GobinShaman,"Goblin shaman is a small, green-skinned humanoid standing at about 3 to 4 feet tall. Its crooked, pointed ears protrude from the sides of its bald head, and its large, bulbous nose dominates its sharp, toothy grin. Its body is skinny and agile, with bony fingers that end in sharp claws. The goblin shaman wears tattered robes and carries a gnarled staff decorated with crude symbols and es. Its eyes glow with a sinister intelligence, and it emanates an aura of malevolence and dark magic.",1300,4,18,35,1d6+1,3,3,6,157.5,GobinShaman.png
14,Howler,"Howlers are terrifying canine-like creatures that resemble a cross between a wolf and a hyena. They have shaggy fur that ranges from dark brown to black, and their eyes glow an eerie red color in the darkness. Howlers are known for their powerful jaws, razor-sharp teeth, and their ability to emit a blood-curdling howl that can disorient and terrify their enemies. They often travel in packs and are skilled hunters, using their speed and agility to take down prey. In combat, they are ferocious opponents, using their jaws and claws to inflict deep injure on their foes.",1400,10--5,17,50,2d8+4,7,8,7,225,Howler.png
15,Gargoyle,"Gargoyles are statuesque creatures resembling winged humanoid figures carved out of stone. They are usually gray or brown in color and have muscular bodies with large wings and sharp talons. Their faces are often twisted into grotesque expressions, with horned foreheads and razor-sharp teeth. Gargoyles are often found perched atop tall buildings or guarding the entrances to dark, foreboding places. In combat, they are skilled at swooping down from above and attacking their enemies with their claws and fangs. They are also known for their ability to turn to stone at will, making them difficult to defeat.",1500,6--4,16,56,1d8+3,8,6,1,252,Gargoyle.png
16,Kobolts,"Kobolds are small, reptilian humanoids with scaly skin ranging in color from rusty brown to a rusty black. They have sharp teeth, claws, and tails. Their eyes are usually either red or yellow, and they often have a distinct odor of damp earth and mold. Kobolds are known for their craftiness and are often seen in groups working together to set traps and ambushes. They are usually armed with short swords, spears, and slings, and may wear scraps of leather armor.",1600,2,15,12,1d6+1,2,1,0,54,Kobolts.png
17,Barbarians,"Barbarian is a class of character that is known for their ferocity, strength, and toughness. Barbarians come from a variety of different cultures, but they share a common trait of being fierce warriors who are skilled in combat. Barbarians are typically portrayed as large, muscular individuals who are more at home in the wilderness than in civilization. They often wear animal skins or other primitive clothing and are armed with weapons such as axes, swords, and spears. In terms of gameplay mechanics, barbarians have a unique ability called ""rage"" that allows them to enter a state of intense combat focus, increasing their strength, durability, and resistance to damage. They also have abilities that make them excellent at tracking, hunting, and surviving in the wilderness. Barbarians are often seen as wild and untamed, but they can also be honorable and loyal. They may have strong ties to their tribe or clan, and are known for their fierce loyalty to their allies.",1700,3--1,18,40,1d8+10,3,1,1,180,Barbarians.png
18,Centaur,"Centaur is a majestic creature with the upper body of a muscular human and the lower body of a powerful horse. Its torso is that of a human, with rippling muscles and a broad chest, while its lower body is that of a sleek, strong horse, with powerful legs and hooves that strike the ground with thunderous force. The Centaur's hair and fur are often long and flowing, with a range of colors from chestnut brown to jet black. Its eyes are keen and intelligent, and its movements are graceful and fluid, making it a formidable opponent in battle. The Centaur stands tall and proud, with an air of nobility and strength that commands respect from all who encounter it.",1800,8,20,60,1d10+6,3,6,5,270,Centaur.png
19,Mummy,"Mummy is a grotesque undead creature wrapped in tattered bandages, its desiccated body visible in places where the fabric has worn away. Its eyes are sunken and hollow, with a dull, lifeless gaze that instills fear in those who look upon it. Its mouth hangs open in a silent scream, revealing rows of yellowed teeth that are still capable of delivering a deadly bite. The Mummy's body is emaciated and shrunken, with skin that is dry and cracked like old parchment. Its movements are slow and deliberate, as if every motion requires a tremendous effort. The bandages that encase the Mummy are often covered in hieroglyphs and ancient symbols, hinting at the powerful magic that keeps this undead horror animated. Overall, the Mummy is a frightening sight to behold, a reminder of the ancient curses and dark powers that still linger in forgotten tombs and ruins.",1900,6,17,65,1d6+4,2,1,7,292.5,Mummy.png
20,Barghest,"Barghest is a fearsome creature with a hulking, muscular body covered in shaggy black fur. Its eyes are glowing with a menacing red hue, and its sharp, pointed ears stand tall atop its head. Its teeth are razor-sharp, and its jaws are powerful, capable of delivering a devastating bite. The Barghest moves with a sinuous grace, its lithe form allowing it to navigate even the narrowest of passageways in the darkest of dungeons. Its claws are long and sharp, capable of rending body and tearing apart armor with ease. The Barghest's presence exudes a sense of primal power and ferocity that strikes fear into the hearts of adventurers. Overall, the Barghest is a formidable opponent, a creature to be respected and feared in equal measure.",2000,12--7,20,75,1d8+4,8,8,10,337.5,Barghest.png
21,Hobgoblin,"Hobgoblin is a medium-sized humanoid creature that is similar in appearance to a goblin but larger and more muscular. They stand at about 6 feet tall and weigh around 200 pounds.  Hobgoblins have reddish-brown or grayish skin, with a flat nose, pointed ears, and sharp teeth. They typically wear armor and carry weapons such as spears, swords, or bows.  In terms of behavior, hobgoblins are known for their discipline and organization. They are often found leading groups of goblins or other creatures, and are skilled at tactics and strategy. They value strength and honor, and may form alliances with other creatures if it serves their purposes. Despite their organized nature, hobgoblins can be cruel and ruthless, and are not to be underestimated in battle.",2100,15--7,18,35,2d6+8,3,1,0,157.5,Hobgoblin.png
22,Bugbear,"Bugbear hairy humanoid creature that is known for its strength and ferocity in battle. They are typically around 7 feet tall and weigh between 250 to 350 pounds. In terms of appearance, a bugbear has long, shaggy fur covering its body, ranging in color from light brown to dark black. They have large, pointed ears and sharp claws that can be used as deadly weapons. Their faces are brutish and menacing, with a prominent snout and sharp teeth. In terms of behavior, bugbears are known for their tendency to be violent and aggressive, often attacking without provocation. They are also known for their love of treasure and will often raid villages and caravans in search of loot. Despite their brutish nature, bugbears are intelligent creatures and are often able to speak Common and other languages. They may also have a strong sense of loyalty to their tribe or clan, and will fiercely defend their own.",2200,5,20,35,1d8+4,2,4,1,157.5,Bugbear.png
23,OrcGrunt,"Orcs are a common humanoid race that are often depicted as brutish, warlike creatures. They have grayish-green skin, muscular builds, and prominent lower jaws. Their eyes are usually red or yellow and they have coarse, dark hair. Orcs are known for their strength, endurance, and aggression. They are often depicted as fierce warriors and raiders, and are feared for their ability to destroy villages and towns. They are typically organized into tribes or clans, and are led by powerful chieftains.  In combat, orcs typically wield weapons such as axes, spears, and bows. They are known for their ferocity and willingness to charge headlong into battle, making them formidable opponents.",2300,12--7,20,60,2d6+12,2,0,1,270,OrcGrunt.png
24,Gnoll,"Gnoll is a fearsome humanoid creature with the head of a hyena and the body of a muscular humanoid. Its fur is shaggy and spotted, with a range of colors from gray to sandy brown. Its eyes are yellow and gleam with a cruel intelligence, while its snout is filled with sharp, razor-like teeth that are capable of tearing through body and bone. The Gnoll's body is lean and athletic, with powerful legs that allow it to run and leap with incredible speed and agility. Its arms are long and muscular, capable of delivering crushing blows with its claws and weapons. The Gnoll's posture is often hunched and predatory, with a feral energy that seems to radiate from its very being. Its howls and yips echo across the plains, striking fear into the hearts of those who hear them. Overall, the Gnoll is a fierce and dangerous creature, one that is not to be underestimated in battle.",2400,8--3,18,55,1d12+5,4,0,0,247.5,Gnoll.png
25,Xill,"Xill is a grotesque creature with a humanoid upper body and a long, segmented insectoid lower body. Its skin is a sickly green color, with a hard exoskeleton covering its insectoid legs. The Xill's head is dominated by a pair of large, bulbous eyes, and its mouth is filled with rows of sharp, serrated teeth. Its long, thin arms end in four-fingered hands, each tipped with a razor-sharp claw. The Xill moves with a creepy, insect-like gait, skittering across surfaces with uncanny speed and agility. The creature is known for its ability to teleport short distances, vanishing and reappearing in the blink of an eye to confound and confuse its enemies. The Xill exudes an aura of malevolence, as if it delights in the suffering and pain of others. Overall, the Xill is a terrifying opponent, one that strikes fear into even the bravest of adventurers.",2500,7--7--2--2,20,55,1d6+5,6,7,5,247.5,Xill.png
26,Basilisk,"Basilisk is a legendary creature with the body of a large, reptilian lizard and a fearsome reputation for its ability to turn its victims to stone with a single glance. Its scales are rough and scaly, with a range of colors from brown to green to yellow. Its eyes are piercing and reptilian, with a golden gleam that strikes fear into the hearts of those who look upon it. The Basilisk's body is long and powerful, with a long, sinuous tail that can be used as a deadly weapon. Its jaws are filled with razor-sharp teeth, capable of crushing bones and rending body with ease. The Basilisk's gaze is its most feared weapon, capable of petrifying anyone who meets its gaze, turning them to stone in an instant. Overall, the Basilisk is a terrifying creature, one that inspires fear and dread in all who hear its name.",2600,8,16,60,1d8+3,9,4,3,270,Basilisk.png
27,Destrachan,"Destrachan is a strange and unsettling creature with a long, sinuous body that is covered in tough, scaly hide. Its skin ranges in color from dark brown to gray, with a mottled, almost camouflaged pattern that allows it to blend into its surroundings. Its most distinctive feature is its head, which is dominated by a large, gaping mouth filled with sharp, jagged teeth. The Destrachan's mouth is also its primary means of detecting its surroundings, emitting powerful sound waves that bounce off of surfaces and provide it with a highly accurate sense of echolocation. The creature's eyes are small and beady, while its limbs are long and slender, ending in sharp, clawed appendages that are capable of rending body and tearing apart armor. The Destrachan moves with an eerie, fluid grace, its movements almost serpentine in nature. Its eerie, otherworldly appearance and highly developed senses make it a formidable foe for any adventurer.",2700,9--9,16,70,1d6+5,5,3,10,315,Destrachan.png
28,Harpy,"Harpy is a creature that is half-human and half-bird, with the body of a human and the wings and talons of a bird. Its face is often described as being both beautiful and terrifying, with a seductive and alluring beauty that can quickly turn to a fierce and predatory snarl. Its hair is often long and flowing, with feathers woven into it to accentuate its avian nature. The Harpy's wings are broad and powerful, allowing it to soar high into the sky and swoop down on its prey with deadly accuracy. Its talons are razor-sharp and strong, capable of crushing bones and tearing apart body with ease. The Harpy's voice is also a potent weapon, capable of charming and luring its prey with a hypnotic melody or screeching at a high pitch to deafen or disorient its enemies. The Harpy is a creature of both beauty and terror, a cunning and deadly foe that is not to be taken lightly.",2800,7--2,15,40,1d4+2,2,7,5,360,Harpy.png
29,GibberingMouther,"Gibbering Mouther is a grotesque, amorphous creature with a mass of eyes, mouths, and limbs that are constantly in motion. Its bodies are formed from a conglomerate of humanoids or animals fused together, each with its own pair of eyes and mouths, all babbling and drooling incoherently. The Gibbering Mouther's movements are erratic and unpredictable, shifting its shape and size as it moves. Its multiple mouths can unleash a deafening cacophony of gibberish, which can drive its enemies to madness. The creature's attacks are also incredibly dangerous, with its mouths biting and grasping at anything that comes within reach.",2900,4--4--4--4--4--4,19,45,1d6,2,2,5,405,GibberingMouther.png
30,Drow,"Drow are a dark-skinned, elven race with white hair and striking, almost inhuman features. They typically stand around 5 to 6 feet tall and possess lithe, graceful bodies. Drow society is highly matriarchal, with powerful priestesses and female warriors known as ""driders"" leading their communities. They have a reputation for being sdispatched in the use of poisons and magic, and their cities are often located deep underground, hidden away from the surface world. Drow are also notorious slavers, often capturing and enslaving other intelligent races. They are fierce opponents, employing advanced tactics and techniques in battle, and are known to be both cunning and ruthless.",3000,18--12,22,75,1d8+8,9,8,5,675,Drow.png
31,Drow,"Drow are a dark-skinned, elven race with white hair and striking, almost inhuman features. They typically stand around 5 to 6 feet tall and possess lithe, graceful bodies. Drow society is highly matriarchal, with powerful priestesses and female warriors known as ""driders"" leading their communities. They have a reputation for being sdispatched in the use of poisons and magic, and their cities are often located deep underground, hidden away from the surface world. Drow are also notorious slavers, often capturing and enslaving other intelligent races. They are fierce opponents, employing advanced tactics and techniques in battle, and are known to be both cunning and ruthless.",3100,18--12--18,24,85,2d6+15,9,8,5,765,Drow.png
32,OrcSargent,"Orcs are a common humanoid race that are often depicted as brutish, warlike creatures. They have grayish-green skin, muscular builds, and prominent lower jaws. Their eyes are usually red or yellow and they have coarse, dark hair. Orcs are known for their strength, endurance, and aggression. They are often depicted as fierce warriors and raiders, and are feared for their ability to destroy villages and towns. They are typically organized into tribes or clans, and are led by powerful chieftains.  In combat, orcs typically wield weapons such as axes, spears, and bows. They are known for their ferocity and willingness to charge headlong into battle, making them formidable opponents.",3200,10,22,50,1d8+5,6,2,8,450,OrcSargent.png
33,OrcWarcrier,"Orcs are a common humanoid race that are often depicted as brutish, warlike creatures. They have grayish-green skin, muscular builds, and prominent lower jaws. Their eyes are usually red or yellow and they have coarse, dark hair. Orcs are known for their strength, endurance, and aggression. They are often depicted as fierce warriors and raiders, and are feared for their ability to destroy villages and towns. They are typically organized into tribes or clans, and are led by powerful chieftains.  In combat, orcs typically wield weapons such as axes, spears, and bows. They are known for their ferocity and willingness to charge headlong into battle, making them formidable opponents.",3300,12--7,18,50,2d6+10,2,5,5,450,OrcWarcrier.png
34,MindflayerLizardman,"Mindflayer Lizardman stands at an imposing height, with a powerfully built, muscular body that is covered in tough, scaly skin. Its head is distinctly cephalopod-like, with a pair of large, multifaceted eyes that gleam with an alien intelligence. It has a pair of powerful, muscular arms ending in long, razor-sharp claws, and two additional, tentacle-like appendages that protrude from its back, each ending in a cluster of suckers that allow it to manipulate objects with ease.  This creature possesses powerful psychic abilities that allow it to manipulate the minds of other creatures, as well as the physical strength and resilience of the Lizardman. It is a fierce and dangerous predator, hunting its prey with a combination of brute force and cunning strategy. Its intelligence, combined with its formidable physical abilities, make it a force to be reckoned with, and those who encounter it would be wise to avoid a confrontation if possible.",3400,8--8--8--8,6,55,1d4+2,3,4,9,495,MindflayerLizardman.png
35,Achaierai,"Achaierai is a large, bird-like creature with dark feathers and a distinctive, four-legged gait. Its body is roughly the size of a horse, with a long, sharp beak and powerful talons that it uses to hunt and defend itself. Its legs are thick and muscular, and its feet are tipped with razor-sharp claws that allow it to move easily over rough terrain. The Achaierai is often found in desolate wastelands or other inhospitable environments, where it preys on small creatures and occasionally larger animals. It is known for its fierce, territorial nature and its ability to emit a piercing scream that can stun its prey or disorient potential threats. The Achaierai is a fearsome opponent, and those who cross its path should be prepared for a difficult and dangerous battle.",3500,9--4,20,70,2d6+4,7,6,7,630,Achaierai.png
36,IceTroll,"Ice Troll is a hulking, humanoid creature covered in shaggy, white fur. Its skin is thick and resilient, providing natural armor against both cold and physical attacks. Its face is brutish, with a large, broad nose and thick, jagged teeth that it uses to tear into its prey. The Ice Troll's hands and feet are enormous, with long, razor-sharp claws that can rend through body and bone with ease. It stands at around nine feet tall, towering over most humanoids, and can move surprisingly quickly despite its massive size. Its preferred habitat is the frozen wastes of the far north, where it hunts for seals, walruses, and even the occasional polar bear. The Ice Troll is a fierce and formidable opponent, able to withstand extreme cold and deliver devastating physical attacks. Those who encounter an Ice Troll should be wary, as its ferocity and resilience make it a difficult foe to defeat.",3600,12--9,19,85,3d6+9,11,4,3,765,IceTroll.png
37,BronzeWyrmling,"Bronze Wyrmling is a small, serpentine dragon with shimmering scales of metallic bronze. It has sharp, keen eyes and a pointed snout filled with sharp teeth. Its wings are relatively small, but it can fly with impressive speed and maneuverability. Despite its size, the Bronze Wyrmling has impressive strength and can deliver a powerful bite and claw attack. Its preferred habitat is near bodies of water such as lakes or rivers, where it hunts for fish and small animals. It is known for its ability to produce a powerful electrical shock, which it can use to stun or dispatch its prey, or to defend itself against potential predators. The Bronze Wyrmling is intelligent and curious, and some dragons of this species are known to form alliances with nearby humanoid settlements, trading knowledge and protection for tribute or service.",3700,9--4,16,50,1d6+2,6,5,7,450,BronzeWyrmling.png
38,BlueSpawnStormLizard,"Blue Dragon is a massive, reptilian creature with a sleek, muscular body covered in shimmering blue scales. It has a long, serpentine neck and a large, tooth-filled mouth that it uses to bite and breathe lightning. Its arms are powerful and end in razor-sharp claws, which it uses to rend and tear its prey. Despite the absence of wings, the Blue Dragon is able to move at great speed and can quickly close the distance to its enemies. It is a cunning and intelligent creature, able to understand and speak humanoid languages. Its preferred habitat is the desolate wastelands or arid deserts, where it hunts for large animals and unwary travelers. The Blue Dragon is known for its ability to produce a powerful electrical shock, which it can use to stun or dispatch its prey, or to defend itself against potential predators. Those who cross its path should be wary, as the Blue Dragon is a formidable foe that should not be underestimated.",3800,13--6,21,90,1d8+8,10,9,5,810,BlueSpawnStormLizard.png
39,FrostGiant,"The Frost Giant is a towering humanoid, standing well over 20 feet tall with a powerful, muscular build. Its skin is bluish-white and covered in thick, shaggy fur, providing protection against the frigid temperatures of its northern habitats. It has a wide, brutish face with a prominent nose and a fierce, bearded scowl. The Frost Giant carries a massive weapon, typically a large club or a battle axe, which it wields with deadly force. Despite its massive size, the Frost Giant is surprisingly agile, able to move quickly and gracefully through the snow and ice. It is a formidable opponent in combat, and its icy breath can freeze its enemies solid. Some Frost Giants are known to possess magical abilities, allowing them to control the elements or summon icy minions to do their bidding. The Frost Giants are a proud and territorial race, and any who dare to cross their path should be prepared for a fierce and unforgiving battle.",3900,18--13--4,21,140,3d6+12,14,3,4,1260,FrostGiant.png
40,Phoenix,"The Phoenix is a majestic and mystical bird with vibrant plumage in shades of red, orange, and gold. Its feathers shimmer and glow with a magical energy, and it emits a radiant aura of warmth and light. The Phoenix is a creature of incredible resilience and rebirth, able to rise from its own ashes after death to live anew. It possesses the power of fire, able to conjure and control flames to its will. When threatened, the Phoenix can ignite its own body into a blazing inferno, incinerating its enemies in a searing conflagration. Despite its fearsome abilities, the Phoenix is a creature of noble temperament and great wisdom, possessing ancient knowledge and insight into the mysteries of life and death. Its appearance is a sign of great change or renewal, and it is said that those who encounter a Phoenix are blessed with good fortune and spiritual insight.",4000,15,25,90,2d8+8,12,12,12,4050,Phoenix.png
42,JuvenileBlackDragon,"The Juvenile Black Dragon is a sleek and agile reptilian creature with jet-black scales that glimmer in the dim light. It has a long, sinewy body, powerful legs, and large, leathery wings that allow it to take flight. Its eyes are a piercing shade of yellow, and sharp horns protrude from its head. The Juvenile Black Dragon is a fearsome predator, hunting its prey from the shadows or swooping down from above to catch its victims by surprise. It has a powerful bite and can breathe a stream of acid that can melt through solid objects. The Juvenile Black Dragon is known to be cunning and cruel, taking pleasure in the suffering of others. It hoards treasure and collects trophies from its dispatchs, often making its lair in dark and foreboding places such as swamps or underground caverns. The Juvenile Black Dragon is a formidable opponent, and those who seek to confront it must be prepared for a fierce and deadly battle.",4200,16,22,150,1d8+6,,,,4050,JuvenileBlackDragon.png
41,Bulette,"The Bulette is a massive and ferocious creature resembling a cross between a reptile and a land shark. It has a heavily armored body covered in thick, scaly plates that protect it from harm, and its powerful legs end in razor-sharp claws that can tear through almost anything. Its head is shaped like that of a massive reptile with powerful jaws and razor-sharp teeth, and it has two small, beady eyes that seem to glow with a fierce intelligence. The Bulette is a swift and deadly predator, capable of burrowing through the ground to ambush its prey or charging at them with incredible speed and force. It is known to be aggressive and territorial, attacking anything that encroaches on its territory. The Bulette is a creature to be feared and respected, and those who cross its path would be wise to tread lightly.",4100,12--7,22,145,2d8+8,11,8,4,3915,Bulette.png
43,ZombieDragon,"The Zombie Dragon is a terrifying undead creature that was once a fearsome dragon in life. Its body is covered in rotting body and tattered scales, and its eyes burn with an eerie red light. Its wings are torn and tattered, and its body is emaciated and skeletal in appearance. Despite its decayed state, the Zombie Dragon is still a formidable opponent, possessing incredible strength and resilience. It can breathe a cloud of toxic gas that can rot body and corrode metal, and it has razor-sharp claws and teeth that can tear through armor and body alike. The Zombie Dragon is an undead abomination, often created through dark magic or cursed by a powerful necromancer. It is a creature of pure evil, driven by an insatiable hunger for destruction and chaos. Those who face a Zombie Dragon in battle must be prepared for a grueling and dangerous fight, as this undead creature will stop at nothing to destroy its foes.",4300,22--13,23,150,2d6+5,12,9,9,4050,ZombieDragon.png
44,StoneConstruct,"The Stone Construct is a golem-like creature made entirely of stone. Its body is shaped like that of a humanoid, but its features are crude and roughly hewn, as if carved by a clumsy hand. The Stone Construct's body is incredibly heavy and solid, and it moves with a heavy, deliberate gait. Its eyes are glowing orbs of magical energy, and its fists are massive, capable of crushing stone and bone with ease. The Stone Construct is often created by powerful wizards or mages as a guardian or protector, and it is immune to many forms of magic and elemental attacks. It is a relentless and tireless opponent, capable of fighting for hours without rest, and it can be incredibly difficult to defeat. Those who face a Stone Construct in battle must be prepared for a grueling and dangerous fight, as this stone giant will stop at nothing to protect its master or destroy its foes.",4400,18--18,26,155,2d10+10,4,4,3,4185,StoneConstruct.png
45,YoungAdultWhiteDragon`,"The Young Adult White Dragon is a magnificent and fearsome creature. Its scales are a brilliant white, like freshly fallen snow, and its eyes are a piercing blue that seem to glow with an inner fire. Its wingspan is impressive, allowing it to soar high above its enemies and attack from the air. Its claws and teeth are razor sharp and deadly, capable of tearing through body and bone with ease. The Young Adult White Dragon is highly intelligent and cunning, and it is known for its ability to create cunning traps and ambushes for its prey. Its breath weapon is a blast of freezing cold air that can freeze anything in its path, and it can also create blizzards and snowstorms to confuse and disorient its foes. The Young Adult White Dragon is a formidable opponent, and those who face it in battle must be prepared for a grueling and dangerous fight, as this dragon will stop at nothing to defend its territory and hoard.",4500,22--13,23,175,2d6+5,12,9,9,4725,YoungAdultWhiteDragon`.png
46,FiendishTyrannosaurs,"The Fiendish Tyrannosaurus is a terrifying creature, with crimson scales that are hot to the touch and eyes that burn with a fierce, malevolent intelligence. Its roar is a deafening, ear-splitting sound that can cause fear in the hearts of even the bravest warriors. Its jaws are lined with razor-sharp teeth that can easily rip through steel and bone. The Fiendish Tyrannosaurus is massive and muscular, standing at over 20 feet tall and weighing several tons. Its powerful legs allow it to move with incredible speed and agility, and it is capable of chasing down even the swiftest prey. The Fiendish Tyrannosaurus is immune to most forms of magic, and it is incredibly difficult to defeat in battle. It is often summoned by powerful demons or other evil entities to do their bidding, and it is feared and respected by all who encounter it. Those who face the Fiendish Tyrannosaurus in battle must be prepared for a grueling and dangerous fight, as this creature will stop at nothing to dispatch its enemies and fulfill its master's orders.",4600,20,16,255,5d8+15,15,12,10,6885,FiendishTyrannosaurs.png
47,Nightwalker,"The Nightwalker is a terrifying creature, a humanoid shape made entirely of writhing darkness that seems to absorb all light around it. It stands over 10 feet tall and exudes an aura of cold malevolence that freezes the very souls of those who gaze upon it. Its long, spindly arms end in razor-sharp claws that can easily rend through steel and stone. Its eyes are deep pits of blackness that seem to draw in all light and life around them. The Nightwalker is immune to most forms of magic and cannot be harmed by non-magical weapons. Its touch alone can drain the life force of a victim, leaving them a lifeless husk. The Nightwalker is said to be a servant of the god of death, and it is often called upon to collect the souls of the living and bring them to the underworld. Few have ever faced a Nightwalker in battle and lived to tell the tale, as it is an incredibly powerful and dangerous foe.",4700,20,26,210,2d6+12,7,9,17,22680,Nightwalker.png
48,Glabrezu,"The Glabrezu is a demonic creature standing over 20 feet tall with a body that appears to be a grotesque combination of different animals. It has the head of a horned and bearded ape, the body of a giant lobster, and six powerful arms that end in razor-sharp claws. Its eyes glow with an otherworldly intelligence and a malevolent cunning. It can manipulate reality with its powerful magic, creating illusions, summoning demons, and even warping time and space. The Glabrezu is a cunning and deceitful creature, often using its powers of persuasion and mind control to manipulate and deceive those it encounters. Its ultimate goal is to cause chaos and destruction wherever it goes, spreading the influence of its demonic masters. Only the bravest and most skilled adventurers dare to face a Glabrezu in combat, as it is an incredibly powerful and dangerous foe.",4800,15--13,27,210,2d8+7,11,7,10,22680,Glabrezu.png
